"","PC.name","State.name","Candidate.Name","Candidate.Sex","Candidate.Category","Candidate.Age","Party.Abbreviation","Total.Votes.Polled","Position","Total.voters","Total_Electors","TOT_CONTESTANT","POLL.PERCENTAGE","Total.Persons","Total.HinduPersons","Total.Muslim.Persons","Sex Ratio (per 1000)","Average Literacy","INCUMBENT_PARTY"
"722","Tiruppur","Tamil Nadu","KARTHIKKEYEAN A M","M","GEN",43,"IND",3726,9,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"723","Tiruppur","Tamil Nadu","MUTHUSWAMY N","M","GEN",50,"IND",3343,10,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"724","Tiruppur","Tamil Nadu","BALASUBRAMANIAN P","M","GEN",46,"IND",2393,11,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"725","Tiruppur","Tamil Nadu","RAJAKUMAR W","M","GEN",31,"IND",2163,12,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"726","Tiruppur","Tamil Nadu","DOMNIC BABU A","M","GEN",28,"IND",1674,13,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"727","Tiruppur","Tamil Nadu","SHEIK DAVOOD A M","M","GEN",46,"IND",1615,14,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"728","Tiruppur","Tamil Nadu","GANESHKUMAR C","M","GEN",40,"IND",1613,15,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"729","Tiruppur","Tamil Nadu","THANGAVEL M","M","SC",48,"LJP",1533,16,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"730","Tiruppur","Tamil Nadu","SELVARAJ S","M","GEN",26,"IND",1437,17,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"731","Tiruppur","Tamil Nadu","MALARVIZHI P","F","GEN",47,"IND",1171,18,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"732","Tiruppur","Tamil Nadu","RATHINASWAAMY K","M","GEN",35,"IND",1037,19,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"733","Tiruppur","Tamil Nadu","VENKATACHALAM K","M","GEN",40,"IND",993,20,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"734","Tiruppur","Tamil Nadu","KARUNAGARAN I","M","SC",38,"IND",941,21,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"735","Tiruvannamalai","Tamil Nadu","VENUGOPAL.D","M","GEN",73,"DMK",436866,1,840875,1052587,30,79.88650819,2464875,2294369,91636,"994","74.21%","DMK"
"736","Tiruvannamalai","Tamil Nadu","GURU (A) GURUNATHAN. J","M","GEN",48,"PMK",288566,2,840875,1052587,30,79.88650819,2464875,2294369,91636,"994","74.21%","DMK"
"737","Tiruvannamalai","Tamil Nadu","MANIKANDAN.S","M","GEN",29,"DMDK",56960,3,840875,1052587,30,79.88650819,2464875,2294369,91636,"994","74.21%","DMK"
"738","Tiruvannamalai","Tamil Nadu","AFROZ HUSNA. K.S","F","GEN",38,"LJP",5798,4,840875,1052587,30,79.88650819,2464875,2294369,91636,"994","74.21%","DMK"
"739","Tiruvannamalai","Tamil Nadu","RAVI R","M","SC",37,"IND",5432,5,840875,1052587,30,79.88650819,2464875,2294369,91636,"994","74.21%","DMK"
"740","Tiruvannamalai","Tamil Nadu","SHANMUGAVEL M","M","SC",33,"IND",5126,6,840875,1052587,30,79.88650819,2464875,2294369,91636,"994","74.21%","DMK"
"741","Tiruvannamalai","Tamil Nadu","GURU (A) GURUMOORTHY S","M","SC",31,"IND",4927,7,840875,1052587,30,79.88650819,2464875,2294369,91636,"994","74.21%","DMK"
"742","Tiruvannamalai","Tamil Nadu","GOVINDASAMY. P","M","SC",63,"BSP",4731,8,840875,1052587,30,79.88650819,2464875,2294369,91636,"994","74.21%","DMK"
