,PC.name,State.name,Candidate.Name,Candidate.Sex,Candidate.Category,Candidate.Age,Party.Abbreviation,Total.Votes.Polled,Position,Total.voters,Total_Electors,TOT_CONTESTANT,POLL.PERCENTAGE,Total.Persons,Total.HinduPersons,Total.Muslim.Persons,Sex.Ratio..per.1000.,Average.Literacy,Incumbency,Education,Total.Assets,Women,Winner,Criminal.Case,SeriousCrime
105,Baghpat,Uttar Pradesh,SAHAB SINGH,M,GEN,50,SP,45644,4,613847,1280602,16,47.9342528,1303048,917474,364583,861,72.01,0,Post Graduate,36953000,0,0,1,0
107,Baghpat,Uttar Pradesh,DEVENDRA KUMAR,M,GEN,46,BKLJP,790,12,613847,1280602,16,47.9342528,1303048,917474,364583,861,72.01,0,10th Pass,3240668,0,0,0,0
108,Baghpat,Uttar Pradesh,SHALINI,F,GEN,27,JM,404,15,613847,1280602,16,47.9342528,1303048,917474,364583,861,72.01,0,Graduate,932000,1,0,0,0
109,Baghpat,Uttar Pradesh,FIRDOUS A /S FIRDOUS RANA,F,GEN,27,MKUP,387,16,613847,1280602,16,47.9342528,1303048,917474,364583,861,72.01,0,Illiterate,480000,1,0,0,0
110,Bahraich,Uttar Pradesh,KAMAL KISHOR,M,SC,57,INC,160005,1,512701,1246823,13,41.1205921,3487731,2291892,1169330,892,49.36,0,Graduate,1373495,0,1,1,0
111,Bahraich,Uttar Pradesh,LAL MANI PRASAD,M,SC,55,BSP,121052,2,512701,1246823,13,41.1205921,3487731,2291892,1169330,892,49.36,0,Graduate,5051684,0,0,2,0
112,Bahraich,Uttar Pradesh,SHABBEER AHMAD,M,SC,50,SP,120791,3,512701,1246823,13,41.1205921,3487731,2291892,1169330,892,49.36,1,12th Pass,3183000,0,0,0,0
113,Bahraich,Uttar Pradesh,AKSHAYBAR LAL,M,SC,63,BJP,71492,4,512701,1246823,13,41.1205921,3487731,2291892,1169330,892,49.36,0,10th Pass,10417400,0,0,0,0
114,Bahraich,Uttar Pradesh,GOPAL,M,SC,49,SBSP,5893,6,512701,1246823,13,41.1205921,3487731,2291892,1169330,892,49.36,0,Graduate Professional,345000,0,0,0,0
115,Bahraich,Uttar Pradesh,MANU DEVI,F,SC,31,PECP,5255,7,512701,1246823,13,41.1205921,3487731,2291892,1169330,892,49.36,0,Graduate,308000,1,0,0,0
116,Bahraich,Uttar Pradesh,HARENDRA KUMAR,M,SC,31,JPS,3943,8,512701,1246823,13,41.1205921,3487731,2291892,1169330,892,49.36,0,Post Graduate,23500,0,0,0,0
117,Bahraich,Uttar Pradesh,SATYA NARAIN,M,SC,66,RPI(A),2719,10,512701,1246823,13,41.1205921,3487731,2291892,1169330,892,49.36,0,Graduate Professional,4375276,0,0,0,0
118,Bahraich,Uttar Pradesh,HEERA LAL,M,SC,59,ANC,2717,11,512701,1246823,13,41.1205921,3487731,2291892,1169330,892,49.36,0,Graduate Professional,1120000,0,0,0,0
119,Bahraich,Uttar Pradesh,RAM CHHABEELE SUBHASH,M,SC,44,BSRD,1718,12,512701,1246823,13,41.1205921,3487731,2291892,1169330,892,49.36,0,12th Pass,97650,0,0,0,0
120,Bahraich,Uttar Pradesh,TULSI RAM,M,SC,41,RDMP,1699,13,512701,1246823,13,41.1205921,3487731,2291892,1169330,892,49.36,0,5th Pass,20000,0,0,0,0
121,Ballia,Uttar Pradesh,NEERAJ SHEKHAR,M,GEN,40,SP,276649,1,677834,1679029,16,40.37059515,3239774,3004240,213440,937,70.94,0,Graduate,27718262,0,1,0,0
122,Ballia,Uttar Pradesh,SANGRAM SINGH YADAV,M,GEN,48,BSP,204094,2,677834,1679029,16,40.37059515,3239774,3004240,213440,937,70.94,0,Graduate Professional,3331361,0,0,0,0
123,Ballia,Uttar Pradesh,MANOJ SINHA,M,GEN,50,BJP,137740,3,677834,1679029,16,40.37059515,3239774,3004240,213440,937,70.94,0,Graduate Professional,12481148,0,0,0,0
124,Ballia,Uttar Pradesh,RAMSAKAL,M,GEN,48,SBSP,25865,4,677834,1679029,16,40.37059515,3239774,3004240,213440,937,70.94,0,8th Pass,1740000,0,0,0,0
125,Ballia,Uttar Pradesh,ARVIND KUMAR GOND,M,ST,30,GGP,4738,7,677834,1679029,16,40.37059515,3239774,3004240,213440,937,70.94,0,Post Graduate,120000,0,0,0,0
126,Ballia,Uttar Pradesh,KANHAIYA PRAJAPATI,M,GEN,44,RSMD,2773,8,677834,1679029,16,40.37059515,3239774,3004240,213440,937,70.94,0,Not Given,908644,0,0,2,1
127,Ballia,Uttar Pradesh,RAJESH,M,GEN,40,JPS,2364,10,677834,1679029,16,40.37059515,3239774,3004240,213440,937,70.94,0,10th Pass,125000,0,0,0,0
128,Ballia,Uttar Pradesh,NARAYAN RAJBHAR,M,GEN,32,BSD,1114,15,677834,1679029,16,40.37059515,3239774,3004240,213440,937,70.94,0,Graduate,47000,0,0,1,1
129,Banda,Uttar Pradesh,R. K. SINGH PATEL,M,GEN,49,SP,240948,1,619793,1386265,15,44.7095613,1799410,1637549,157612,863,66.67,1,Graduate,34107955,0,1,1,1
130,Banda,Uttar Pradesh,BHAIRON PRASAD MISHRA,M,GEN,55,BSP,206355,2,619793,1386265,15,44.7095613,1799410,1637549,157612,863,66.67,0,12th Pass,5665128,0,0,1,0
131,Banda,Uttar Pradesh,AMITA BAJPAI,F,GEN,39,BJP,85587,3,619793,1386265,15,44.7095613,1799410,1637549,157612,863,66.67,0,Post Graduate,8592000,1,0,0,0
132,Banda,Uttar Pradesh,BHAGAWAN DEEN GARG,M,GEN,47,INC,38571,4,619793,1386265,15,44.7095613,1799410,1637549,157612,863,66.67,0,Post Graduate,2255459,0,0,0,0
133,Banda,Uttar Pradesh,SANTOSH KUMAR,M,GEN,54,CPI,7942,6,619793,1386265,15,44.7095613,1799410,1637549,157612,863,66.67,0,8th Pass,1125000,0,0,0,0
